Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
BISC-2087,Biscayne National Park,Fish,Tetraodontiformes,Balistidae,Balistidae,"Filefishes, Triggerfishes",In Review,Unknown,Unknown,Unknown,Unknown,Not Listed
BISC-2088,Biscayne National Park,Fish,Tetraodontiformes,Balistidae,Canthidermis,Unknown,In Review,Unknown,Unknown,Unknown,Unknown,Not Listed
BISC-2089,Biscayne National Park,Fish,Tetraodontiformes,Balistidae,Canthidermis maculata,Rough Triggerfish,Approved,Not Present (Historical Report),Unknown,Unknown,Unknown,Not Listed
BISC-2090,Biscayne National Park,Fish,Tetraodontiformes,Balistidae,Canthidermis sufflamen,Ocean Triggerfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2091,Biscayne National Park,Fish,Tetraodontiformes,Balistidae,Melichthys niger,"Black Durgon, Black Triggerfish",Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2092,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Chilomycterus,"Burrfishes, Spiny Boxfishes",In Review,Unknown,Unknown,Unknown,Unknown,Not Listed
BISC-2093,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Chilomycterus antennatus,Bridled Burrfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2094,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Chilomycterus antillarum,Web Burrfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2095,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Chilomycterus atringa,Spotted Burrfish,Approved,Not Present (Historical Report),Unknown,Unknown,Unknown,Not Listed
BISC-2096,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Chilomycterus schoepfii,"Burrfish, Porcupinefish, Striped Burrfish",Approved,Not Present (Historical Report),Unknown,Unknown,Unknown,Not Listed
BISC-2097,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Diodon holocanthus,Balloonfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2098,Biscayne National Park,Fish,Tetraodontiformes,Diodontidae,Diodon hystrix,Porcupinefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2099,Biscayne National Park,Fish,Tetraodontiformes,Molidae,Mola mola,Ocean Sunfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2100,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Aluterus heudelotii,Dotterel Filefish,Approved,Not Present (Historical Report),Unknown,Unknown,Unknown,Not Listed
BISC-2101,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Aluterus monoceros,Unicorn Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2102,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Aluterus schoepfii,Orange Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2103,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Aluterus scriptus,Scrawled Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2104,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Cantherhines dumerilii,Barred Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2105,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Cantherhines macrocerus,Whitespotted Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2106,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Cantherhines pullus,Orangespotted Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2107,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Monacanthus ciliatus,Fringed Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2108,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Monacanthus tuckeri,Slender Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2109,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Stephanolepis hispida,Planehead Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2110,Biscayne National Park,Fish,Tetraodontiformes,Monacanthidae,Stephanolepis setifer,Pygmy Filefish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2111,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Acanthostracion polygonius,Honeycomb Cowfish,Approved,Not Confirmed,Unknown,Unknown,Unknown,Not Listed
BISC-2112,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Acanthostracion quadricornis,Scrawled Cowfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2113,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Lactophrys,Three-Angled Trunkfishes,In Review,Unknown,Unknown,Unknown,Unknown,Not Listed
BISC-2114,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Lactophrys bicaudalis,Spotted Trunkfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2115,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Lactophrys trigonus,Trunkfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2116,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Lactophrys triqueter,Smooth Trunkfish,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2117,Biscayne National Park,Fish,Tetraodontiformes,Ostraciidae,Ostraciidae,"Boxfishes, Cofferfishes, Cowfishes, Trunkfishes",In Review,Unknown,Unknown,Unknown,Unknown,Not Listed
BISC-2118,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Canthigaster rostrata,Sharpnose Puffer,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2119,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Lagocephalus laevigatus,Smooth Puffer,Approved,Not Present (Historical Report),Unknown,Unknown,Unknown,Not Listed
BISC-2120,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Sphoeroides,"Common Puffers, Swellfishes",In Review,Unknown,Unknown,Unknown,Unknown,Not Listed
BISC-2121,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Sphoeroides maculatus,Northern Puffer,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2122,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Sphoeroides nephelus,Southern Puffer,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2123,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Sphoeroides spengleri,Bandtail Puffer,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2124,Biscayne National Park,Fish,Tetraodontiformes,Tetraodontidae,Sphoeroides testudineus,Checkered Puffer,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2125,Biscayne National Park,Fish,Torpediniformes,Narcinidae,Narcine brasiliensis,Lesser Electric Eel,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2126,Biscayne National Park,Fish,Torpediniformes,Torpedinidae,Torpedo nobiliana,Atlantic Torpedo,Approved,Present,Unknown,Unknown,Unknown,Not Listed
BISC-2127,Biscayne National Park,Vascular Plant,Alismatales,Alismataceae,Sagittaria graminea ssp. weatherbiana,Weatherby's Arrowhead,Approved,Not Present (False Report),Not Native,Unknown,Unknown,Not Listed
BISC-2128,Biscayne National Park,Vascular Plant,Alismatales,Alismataceae,Sagittaria lancifolia,"Bulltongue, Bulltongue Arrowhead, Scythefruit Arrowhead",Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
BISC-2129,Biscayne National Park,Vascular Plant,Alismatales,Araceae,Epipremnum pinnatum,"Centipede Tongavine, Pothos",Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2130,Biscayne National Park,Vascular Plant,Alismatales,Cymodoceaceae,Halodule wrightii,Shoalweed,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2131,Biscayne National Park,Vascular Plant,Alismatales,Cymodoceaceae,Syringodium filiforme,"Manatee Grass, Manatee-Grass",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2132,Biscayne National Park,Vascular Plant,Alismatales,Hydrocharitaceae,Halophila decipiens,Caribbean Seagrass,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
BISC-2133,Biscayne National Park,Vascular Plant,Alismatales,Hydrocharitaceae,Thalassia testudinum,Unknown,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2134,Biscayne National Park,Vascular Plant,Apiales,Apiaceae,Centella asiatica,Spadeleaf,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2135,Biscayne National Park,Vascular Plant,Apiales,Apiaceae,Cyclospermum leptophyllum,Marsh Parsley,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2136,Biscayne National Park,Vascular Plant,Apiales,Araliaceae,Hydrocotyle verticillata,"Whorled Marsh Pennywort, Whorled Marshpennywort, Whorled Pennyroyal",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2137,Biscayne National Park,Vascular Plant,Apiales,Araliaceae,Schefflera actinophylla,Australian Umbrella Tree,Approved,Present,Not Native,Occasional,Unknown,Not Listed
BISC-2138,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Acoelorraphe wrightii,"Everglades Palm, Paurotis Palm",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2139,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Coccothrinax argentata,Florida Silver Palm,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
BISC-2140,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Coccothrinax barbadensis,Puerto Rico Silver Palm,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2141,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Cocos nucifera,Coconut Palm,Approved,Present,Not Native,Uncommon,Unknown,Not Listed
BISC-2142,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Latania loddigesii,Blue Latan Palm,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2143,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Latania lontaroides,Unknown,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2144,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Livistona chinensis,"Chinese Fan Palm, Fountain Palm",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2145,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Phoenix canariensis,Canary Island Date Palm,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2146,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Phoenix dactylifera,Date Palm,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2147,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Phoenix reclinata,"Reclining Date Palm, Senegal Date Palm",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2148,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Pseudophoenix sargentii,Florida Cherry Palm,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2149,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Sabal palmetto,"Cabbage Palm, Cabbage Palmetto",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2150,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Serenoa repens,Saw Palmetto,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2151,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Thrinax morrisii,"Brittle-Thatch, Key Thatch Palm, Key Thatchpalm",Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2152,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Thrinax radiata,"Florida Thatch Palm, Florida Thatchpalm",Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2153,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Veitchia merrillii,Cabbage Palm,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2154,Biscayne National Park,Vascular Plant,Arecales,Arecaceae,Washingtonia robusta,"Mexican Fan Palm, Washington Fan Palm",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2155,Biscayne National Park,Vascular Plant,Asparagales,Amaryllidaceae,Hymenocallis latifolia,Perfumed Spiderlily,Approved,Present,Native,Common,Unknown,Not Listed
BISC-2156,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Agave decipiens,False Sisal,Approved,Present,Native,Common,Unknown,Not Listed
BISC-2157,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Agave sisalana,"Sisal, Sisal Hemp",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2158,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Asparagus aethiopicus,Sprenger's Asparagus-Fern,Approved,Present,Not Native,Occasional,Unknown,Not Listed
BISC-2159,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Asparagus densiflorus,Unknown,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2160,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Cordyline fruticosa,Tiplant,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2161,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Dracaena marginata,Dragontree,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2162,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Furcraea foetida,Mauritius Hemp,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2163,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Sansevieria hyacinthoides,"Bowstring Hemp, Iguanatail",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2164,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Sansevieria trifasciata,Viper's Bowstring Hemp,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2165,Biscayne National Park,Vascular Plant,Asparagales,Asparagaceae,Yucca aloifolia,Aloe Yucca,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2166,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Bletia purpurea,Pinepink,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2167,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Encyclia boothiana,Dollar Orchid,Approved,Not Present (False Report),Not Native,Unknown,Unknown,Not Listed
BISC-2168,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Encyclia boothiana var. erythronioides,Dollar Orchid,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
BISC-2169,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Encyclia tampensis,Tampa Butterfly Orchid,Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2170,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Oeceoclades maculata,"Ground Orchid, Monk Orchid",Approved,Present,Not Native,Uncommon,Unknown,Not Listed
BISC-2171,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Polystachya concreta,Greater Yellowspike Orchid,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Not Listed
BISC-2172,Biscayne National Park,Vascular Plant,Asparagales,Orchidaceae,Spiranthes polyantha,Unknown,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Not Listed
BISC-2173,Biscayne National Park,Vascular Plant,Asparagales,Xanthorrhoeaceae,Aloe vera,"Aloe Vera, Barbados Aloe, Burn Plant, Coastal Aloe, Common Aloe, CuraAo Aloe, Indian Aloe, Jaffarabad Aloe, Medicinal Aloe, Mediterranean Aloe, Star Cactus, True Aloe, Unguentine Cactus, West Indian Aloe",Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2174,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Ambrosia artemisiifolia,"Annual Ragweed, Common Ragweed, Low Ragweed, Ragweed, Roman Wormwood, Short Ragweed, Small Ragweed",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2175,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Aster bracei,Brace's Aster,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2176,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Aster subulatus,Annual Saltmarsh Aster,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2177,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Baccharis angustifolia,Saltwater False Willow,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2178,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Baccharis glomeruliflora,Silverling,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2179,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Baccharis halimifolia,Eastern Baccharis,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2180,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Bidens alba var. radiata,"Bidens, Romerillo",Approved,Present,Native,Common,Unknown,Not Listed
BISC-2181,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Bidens pilosa,"Beggar's Ticks, Cobbler's Pegs, Common Beggarticks, Fisi`Uli, Hairy Beggarticks, Kofe Tonga, Matakaro, Romerillo, Spanish Needles, Spanish-Needles",Approved,Not Present (False Report),Not Native,Unknown,Unknown,Not Listed
BISC-2182,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Borrichia arborescens,Tree Seaside Tansy,Approved,Present,Native,Common,Unknown,Not Listed
BISC-2183,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Borrichia frutescens,"Bushy Seaoxeye, Bushy Seaside Tansy",Approved,Present,Native,Common,Unknown,Not Listed
BISC-2184,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Borrichia X cubana,Cuban Borrichia,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2185,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Calyptocarpus vialis,Straggler Daisy,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2186,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Chromolaena odorata,Jack-In-The-Bush,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2187,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Conyza canadensis var. pusilla,Canadian Horseweed,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2188,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Eclipta prostrata,"Eclipta, False Daisy, Yerba De Tago, Yerba De Tajo",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2189,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Emilia fosbergii,Florida Tasselflower,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2190,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Emilia sonchifolia,Lilac Tassleflower,Approved,Present,Not Native,Occasional,Unknown,Not Listed
BISC-2191,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Erigeron quercifolius,Oakleaf Fleabane,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2192,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Eupatorium capillifolium,Dogfennel,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2193,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Eupatorium leptophyllum,False Fennel,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
BISC-2194,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Eupatorium serotinum,"Late Eupatorium, Lateflowering Thoroughwort",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2195,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Flaveria linearis,Narrowleaf Yellowtops,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2196,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Flaveria trinervia,Clustered Yellowtops,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2197,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Gnaphalium pensylvanicum,Unknown,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Not Listed
BISC-2198,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Gnaphalium purpureum,"Catfoot, Chafe Weed, Everlasting, Purple Cudweed, Rabbit Tobacco, Spoonleaf Purple Everlasting",Approved,Not Present (False Report),Native,Unknown,Unknown,Not Listed
BISC-2199,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Helianthus debilis ssp. debilis,Cucumberleaf Sunflower,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2200,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Iva frutescens,"Bigleaf Sumpweed, Jesuit's Bark",Approved,Not Present (False Report),Native,Unknown,Unknown,Not Listed
BISC-2201,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Iva imbricata,"Seacoast Marsh Elder, Seacoast Marshelder",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2202,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Launaea intybacea,Achicoria Azul,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2203,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Melanthera nivea,"Pineland Squarestem, Snow Squarestem, Yerba De Cabra",Approved,Present,Native,Common,Unknown,Not Listed
BISC-2204,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Mikania cordifolia,Florida Keys Hempvine,Approved,Not Confirmed,Native,Unknown,Unknown,Not Listed
BISC-2205,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Mikania scandens,"Climbing Hempvine, Climbing Hempweed",Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2206,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Parthenium hysterophorus,"Ragweed Parthenium, Santa Maria Feverfew, Whitetop Weed",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2207,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Pectis glaucescens,"Sanddune Chinchweed, Sanddune Cinchweed",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2208,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Pectis prostrata,"Spreading Chinchweed, Spreading Cinchweed",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2209,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Pectis X floridana,Hybrid Florida Cinchweed,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2210,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Pluchea carolinensis,Cure For All,Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2211,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Pluchea odorata,"Marsh Fleabane, Sweetscent",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2212,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Pluchea rosea,Rosy Camphorweed,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2213,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Solidago sempervirens,Seaside Goldenrod,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2214,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Sonchus asper,"Perennial Sowthistle, Prickly Sow Thistle, Prickly Sowthistle, Spiny Sowthistle, Spiny-Leaf Sow-Thistle",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2215,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Sonchus oleraceus,"Annual Sowthistle, Common Sowthistle, Common Sow-Thistle, Pualele, Sow Thistle, Sow-Thistle",Approved,Not Confirmed,Not Native,Unknown,Unknown,Not Listed
BISC-2216,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Tridax procumbens,"Cadillo Chisaca, Coat Buttons, Coatbuttons, Tridax",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2217,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Vernonia cinerea,Little Ironweed,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2218,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Wedelia trilobata,"Bay Biscayne Creeping Oxeye, Wedelia",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2219,Biscayne National Park,Vascular Plant,Asterales,Asteraceae,Youngia japonica,Oriental False Hawksbeard,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2220,Biscayne National Park,Vascular Plant,Asterales,Goodeniaceae,Scaevola sericea,Beach Naupaka,Approved,Present,Not Native,Uncommon,Unknown,Not Listed
BISC-2221,Biscayne National Park,Vascular Plant,Boraginales,Boraginaceae,Nama jamaicense,Jamaicanweed,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2222,Biscayne National Park,Vascular Plant,Boraginales,Cordiaceae,Cordia globosa,Curaciao Bush,Approved,Not Present (Historical Report),Native,Unknown,Unknown,Not Listed
BISC-2223,Biscayne National Park,Vascular Plant,Boraginales,Cordiaceae,Cordia sebestena,Largeleaf Geigertree,Approved,Present,Not Native,Uncommon,Unknown,Not Listed
BISC-2224,Biscayne National Park,Vascular Plant,Boraginales,Ehretiaceae,Bourreria radula,Rough Strongbark,Approved,Not Present (False Report),Native,Unknown,Unknown,Not Listed
BISC-2225,Biscayne National Park,Vascular Plant,Boraginales,Ehretiaceae,Bourreria succulenta,"Bodywood, Pigeon Berry",Approved,Present,Native,Common,Unknown,Not Listed
BISC-2226,Biscayne National Park,Vascular Plant,Boraginales,Heliotropiaceae,Argusia gnaphalodes,Sea Rosemary,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2227,Biscayne National Park,Vascular Plant,Boraginales,Heliotropiaceae,Heliotropium angiospermum,"Scorpionstail, Scorpion's-Tail",Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2228,Biscayne National Park,Vascular Plant,Boraginales,Heliotropiaceae,Heliotropium curassavicum,"Quail Plant, Salt Heliotrope, Seaside Heliotrope",Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2229,Biscayne National Park,Vascular Plant,Boraginales,Heliotropiaceae,Heliotropium polyphyllum,Pineland Heliotrope,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2230,Biscayne National Park,Vascular Plant,Boraginales,Heliotropiaceae,Heliotropium procumbens,Fourspike Heliotrope,Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2231,Biscayne National Park,Vascular Plant,Boraginales,Heliotropiaceae,Tournefortia volubilis,Twining Soldierbush,Approved,Present,Native,Uncommon,Unknown,Not Listed
BISC-2232,Biscayne National Park,Vascular Plant,Brassicales,Bataceae,Batis maritima,"Saltwort, Turtleweed",Approved,Present,Native,Common,Unknown,Not Listed
BISC-2233,Biscayne National Park,Vascular Plant,Brassicales,Brassicaceae,Cakile lanceolata,Coastal Searocket,Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2234,Biscayne National Park,Vascular Plant,Brassicales,Brassicaceae,Cardamine pensylvanica,"Pennsylvania Bittercress, Quaker Bittercress",Approved,Present,Native,Rare,Unknown,Not Listed
BISC-2235,Biscayne National Park,Vascular Plant,Brassicales,Brassicaceae,Coronopus didymus,Lesser Swinecress,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
BISC-2236,Biscayne National Park,Vascular Plant,Brassicales,Brassicaceae,Erucastrum gallicum,"Common Dogmustard, Common Dog-Mustard",Approved,Present,Not Native,Rare,Unknown,Not Listed
BISC-2237,Biscayne National Park,Vascular Plant,Brassicales,Brassicaceae,Lepidium virginicum,"Peppergrass, Poorman Pepperweed, Poorman's Pepper, Poorman's Pepperwort, Virginia Pepperweed, Virginian Peppercress",Approved,Present,Native,Rare,Unknown,Not Listed
