Species ID,Park Name,Category,Order,Family,Scientific Name,Common Names,Record Status,Occurrence,Nativeness,Abundance,Seasonality,Conservation Status
ACAD-1033,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus leucopus,White-Footed Mouse,Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1034,Acadia National Park,Mammal,Rodentia,Cricetidae,Peromyscus maniculatus,Deer Mouse,Approved,Present,Native,Abundant,Breeder,Not Listed
ACAD-1035,Acadia National Park,Mammal,Rodentia,Cricetidae,Synaptomys cooperi,"Cooper Lemming Mouse, Southern Bog Lemming",Approved,Present,Native,Rare,Breeder,Not Listed
ACAD-1036,Acadia National Park,Mammal,Rodentia,Dipodidae,Napaeozapus insignis,Woodland Jumping Mouse,Approved,Present,Native,Rare,Breeder,Not Listed
ACAD-1037,Acadia National Park,Mammal,Rodentia,Dipodidae,Zapus hudsonius,"Hudson Bay Jumping Mouse, Kangaroo Mouse, Meadow Jumping Mouse",Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1038,Acadia National Park,Mammal,Rodentia,Erethizontidae,Erethizon dorsatum,"Hedgehog, Porcupine",Approved,Present,Not Native,Common,Breeder,Not Listed
ACAD-1039,Acadia National Park,Mammal,Rodentia,Muridae,Mus musculus,House Mouse,Approved,Not Present (Historical Report),Not Native,Unknown,Unknown,Not Listed
ACAD-1040,Acadia National Park,Mammal,Rodentia,Muridae,Rattus norvegicus,"Brown Rat, Norway Rat",Approved,Not Confirmed,Not Native,Unknown,Unknown,Not Listed
ACAD-1041,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys,Glaucomys Sp.,In Review,Not Confirmed,Not Native,Unknown,Unknown,Not Listed
ACAD-1042,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys sabrinus,"Mearns Flying Squirrel, Northern Flying Squirrel",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1043,Acadia National Park,Mammal,Rodentia,Sciuridae,Glaucomys volans,Southern Flying Squirrel,Approved,Not Confirmed,Not Native,Unknown,Unknown,Not Listed
ACAD-1044,Acadia National Park,Mammal,Rodentia,Sciuridae,Marmota monax,"Groundhog, New England Woodchuck, Woodchuck",Approved,Present,Not Native,Common,Breeder,Not Listed
ACAD-1045,Acadia National Park,Mammal,Rodentia,Sciuridae,Sciurus carolinensis,"Eastern Gray Squirrel, Gray Squirrel, Northern Gray Squirrel",Approved,Present,Not Native,Common,Unknown,Not Listed
ACAD-1046,Acadia National Park,Mammal,Rodentia,Sciuridae,Tamias striatus,"Northeastern Chipmunk, Striped Squirrel, Eastern Chipmunk, Ground Squirrel, Lyster Chipmunk",Approved,Present,Native,Abundant,Breeder,Not Listed
ACAD-1047,Acadia National Park,Mammal,Rodentia,Sciuridae,Tamiasciurus hudsonicus,"Chickaree, Red Squirrel",Approved,Present,Native,Common,Breeder,Not Listed
ACAD-1048,Acadia National Park,Mammal,Soricomorpha,Soricidae,Blarina brevicauda,"Mole Shrew, Northern Short-Tailed Shrew, Short-Tailed Shrew",Approved,Present,Native,Uncommon,Breeder,Not Listed
ACAD-1049,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex cinereus,Masked Shrew,Approved,Present,Native,Abundant,Breeder,Not Listed
ACAD-1050,Acadia National Park,Mammal,Soricomorpha,Soricidae,Sorex fumeus,"Northern Smoky Shrew, Smoky Shrew",Approved,Present,Native,Uncommon,Breeder,Not Listed
